a bad egg,sözünde durmayan
over-,(önek) aşırı
over-charge,fazla yüklemek
overact,abartmalı bir şekilde oynamak
overage,aşırı yaşlanmak
overall efficiency,toplam verim
overall,her şey dahil
overalls,işçi tulumu
overawe,korkutmak
overbalance,dengesini kaybedip düşmek
overbear,fazla ürün vermek
overbearing,mütehakkim
overbid,fazla fiyat vermek
overblown,abartmalı
overboard,gemiden denize
overburden,(with ile) -e fazla yük taşıtmak
overbusy,aşırı meşgul
overbuy,fazla miktarda satın almak
overcapitalization,aşırı kapitalizasyon
overcapitalize,sermayesini yüksek göstermek
overcast,bulutlu
overcharge,fazla fiyat istemek
overcoat,palto
overcome,üstesinden gelmek
overconfident,özüne fazla güvenen
overcrowd,(with ile) çok fazla insanla doldurmak
overcurrent,fazla akım
overdeveloped,sürdevelope
overdevelopment,sürdevelopman
overdo,abartmak
overdone,fazla pişmiş
overdose,aşırı doz
overdraft,hesabından fazla para çekme izni
overdraw,(bankadaki hesabından) fazla para çekmek
overdrive transmission,overdrayv transmisyonu
overdrive,aşırı hız düzeni
overdue,vadesi geçmiş
overdye,üzerine boyamak
overeat,fazla yemek yemek
overestimate,olduğundan fazla değer biçmek
overexposed,sürekspoze
overexposure,sürekspozisyon
overfall,çağlayan
overflow pipe,taşıntı borusu
overflow,taşmak
overflowing,pek bol
overgrow,çok büyümek
overgrown,yabanıl bitkilerle kaplı
overgrowth,aşırı büyüme
overhang,sarkmak
overhanging,sarkık
overhardening,aşırı sertleşme
overhaul,elden geçirmek
overhead camshaft,üstten kam mili
overhead cost,dolaylı maliyet
overhead crane,yürür köprü
overhead crossing,üstgeçit
overhead expenses,genel giderler
overhead irrigation,yağdırma sulaması
overhead line,havai hat
overhead railway,asma demiryolu
overhead,kafasının üstünde
overheads,işletme giderleri
overhear,kulak misafiri olmak
overheat,aşırı ısıtmak
overinsure,değerinden yüksek sigorta yaptırmak
overjoyed,çok sevinçli
overkill,gereğinden fazla silah
overladen,fazlasıyla yüklenmiş
overland,karayolu ile yapılan
overlap,üstüste binmek
overlay,kaplama
overload,aşırı yüklemek
overlook,-e nazır olmak
overlord,derebeyi
overmaster,hakkından gelmek
overmuch,aşırı
overnight interest rate,gecelik faiz oranı
overnight interest,gecelik faiz
overnight repo,bir gecelik repo
overnight stay,bir gece kalma
overnight,geceleyin
overpass,bkz.flyover
overpay,fazla ödemek
overplay,abartmak
overplus,fazlalık
overpopulation,nüfus fazlalığı
overpower,yenmek
overpowering,kahredici
overpressure,aşırı basınç
overprint,üst baskı
overprints,fazla basmak
overproduce,gereğinden fazla öndürmek
overproduction,aşırı üretim
overpunch,aşırı delgilemek
overrate,fazla değer vermek
overreach,yetişip geçmek
override,umursamamak
overriding,ağır basan
overripe,geçkin
overrule,reddetmek
overrun,istilâ etmek
oversaving,aşırı tasarruf
overseas countries,denizaşırı ülkeler
overseas,denizaşırı
oversee,göz kulak olmak
overseer,müdür
oversell,aşırı övmek
overset,devirmek
overshade,gölge etmek
overshadow,gölge düşürmek
overshoe,şoson
overshoot,çok hızlı gidip kaçırmak
oversight,dikkatsizlik
oversimplify,yalınlaştırarak anlamını çarpıtmak
oversized,büyük boy
oversleep,uyuya kalmak
overspend,fazla sarf etmek
overstate,abartmak
overstep,aşmak
overstock,fazla stok yapmak
overstrain,aşırı zorlamak
overstress,aşırı gerilme
overstretch,aşırı germek
overstrung,aşırı duyarlı ve heyecanlı
oversubscribe,fazla taahhüt etmek
oversubscription,fazla taahhüt
oversupply,fazlalık
overt,gizli olmayan
overtake,yetişip geçmek
overtax,ağır vergi koymak
overthrow,(hükümet/vb.) devirmek
overthrust,aşma
overtime pay,fazla mesai vergini
overtime work,fazla çalışma
overtime,fazla mesai
overtone,ahenk sesi
overtop,tepesini aşmak
overture,uvertür
overtures,görüşme önerisi
overturn,devirmek
overvalue,fazla kıymet biçmek
overvoltage,aşırı gerilim
overweening,kibirli
overweight,(belli bir kilodan) ağır
overwhelm,yenmek
overwhelming,çok büyük
overwind,aşırı sarmak
overwork,fazla çalışmak
overwrite,üstüne yazmak
overwrought,çok heyecanlı
oviduct,yumurta arnası
oviferous,yumurtası olan
oviform,yumurta biçiminde
ovigerous,yumurta oluşturucu
ovipositor,yumurtlama borusu
ovogenesis,yumurtalıkta olgun yumurta oluşumu
ovular,yumurtayla ilgili
ovulate,yumurtlamak
ovulation,ovülasyon
ovule,ovum
ovum,yumurta
owe sb a grudge,kin beslemek
owe,borcu olmak
owing to,-den dolayı
owing,ödenmemiş
owl,baykuş
owlet,baykuş yavrusu
owlish,baykuş gibi
own resources,öz kaynaklar
own up to,itiraf etmek
own weight,ölü yük
own,kendi
owner,sahip
ownerless,sahipsiz
ownership,mülkiyet
ox,öküz
ox-bow lake,akmaz
ox-eye daisy,öküzgözü
oxalate,oksalat
oxalic acid,oksalik asit
oxalic,oksalik
oxcart,öküz arabası
oxherd,sığır sürüsü
oxidase,oksidaz
oxidation number,oksitlenme numarası
oxidation,oksidasyon
oxidation-reduction,yükseltgeme-indirgeme
oxide,oksit
oxidize,oksitlemek
oxidizing agent,yükseltgen madde
oxidizing flame,yükseltgeyici alev
oxidizing,yükseltgeyici
oxime,oksim
oxlip,çuhaçiçeğine benzer bir bitki
oxonium,oksonyum
oxtail,öküz kuyruğu
oxyacetylene welding,oksijen kaynağı
oxyacetylene,oksiasetilen
oxyacid,oksi asit
oxygen apparatus,oksijen teneffüs aygıtı
oxygen cycle,oksijen çevrimi
oxygen mask,oksijen maskesi
oxygen tent,oksijen çadırı
oxygen,oksijen
oxygen-free,oksijensiz
oxygenate,oksijen katmak
oxygenated,oksijenli
oxyhydrogen,oksijen ile hidrojen karışımı
oyer and terminer,ağır ceza mahkemesi
oyez,dikkat!
oyster bank,istiridye yatağı
oyster bed,istiridye yatağı
oyster catcher,istridye avcısı
oyster shell,istiridye kabuğu
oyster,istiridye
ozalid print,ozalit baskısı
ozokerite,ozokerit
ozone friendly,ozon dostu
ozone layer,ozon tabakası
ozone,ozon
ozonide,ozonit
ozonize,ozonlaştırmak
ozonizer,ozonatör
ozonolysis,ozonoliz
ozonometer,ozonölçer
ozonosphere,ozonosfer
P.S.,not
pa,baba
pabular,besinle ilgili
pabulum,yiyecek
pace,adım
pacemaker,diğerlerine örnek olan kimse
pachyderm,fil gibi kalın derili memeli hayvan
pacific,barışsever
pacification,barışma
pacifier,barıştıran kimse
pacifism,barışseverlik
pacifist,barışsever
pacify,yatıştırmak
pack animal,yük hayvanı
pack horse,yük beygiri
pack ice,deniz suyu buzu
pack in,ilgi çekmek
pack it in,durdurmak
pack off,sepetlemek
pack ones bags,pılıyı pırtıyı toplamak
pack up,işi bitirmek
pack,bohça, sarmak, tıka basa doldurmak, (yiyecek) kutulara koymak, konservelemek, koruyucu bir madde ile doldurmak, sarmak, kaplamak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
package deal,paket teklif
package holiday,turizm acentasının tertiplediği gezi
package tour,türküm turu
package,paket
packaged software,paket bağdarlama
packaging,paketleme
packed like sardines,balık istifi gibi
packed,tıka basa dolu
packer,ambalaj makinesi
packet mode,paket modu
packet switching,paket anahtarlama
packet,paket
packing bolt,salmastra cıvatası
packing box,eşya sandığı
packing case,tahta kasa
packing house,depo
packing material,dolgu malzemesi
packing needle,çuvaldız
packing paper,paket kâğıdı
packing ring,salmastra bileziği
packing washer,salmastra rondelası
packing,paketleme
packsaddle,semer
packthread,ambalaj ipi
pact,antlaşma
pad character,doldurma karakteri
pad jig,fular jiger
pad the bill,faturayı şişirmek
pad,(koruyucu) yastık, uzatmak, sessizce yürümek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pad-dry process,fularlama-kurutma yöntemi
pad-roll method,emdirme-bekletme yöntemi
padding machine,fularlama emdirme kılgası
padding mangle,emdirme makinesi
padding,vatka
paddle boat,yandan çarklı gemi
paddle box,davlumbaz
paddle ones own canoe,kendi işini kendi görmek
paddle steamer,yandan çarklı gemi
paddle wheel,gemi çarkı
paddle,kısa kürek
paddle-wheel fan,santrifüjlü vantilatör
paddock,küçük çayır alan
paddy field,çeltik tarlası
paddy,çeltik
padishah,padişah
padlock,asma kilit
paean,sevinç şarkısı
paediatrics,bkz.pediatrics
pagan,dinsiz
paganism,putperestlik
page boy,konakçı komisi
page,sayfa
pageant,kutlama töreni
pageantry,parlak gösteri
pager,çağrı cihazı
paginal,sayfalara ait
paginate,sayfalara numara koymak
pagination,sayfalara numara koyma
paging,sayfaları numaralama
pagoda,pagoda
pah,püh!
paid,ödenmiş
paid-in capital,ödenmiş sermaye
paid-in,ödenmiş
paid-up,ödenmiş
pail,kova
pailful,bir kova dolusu
paillasse,ot minder
paillette,pul
pain in the neck,baş belası
pain,ağrı
pained,incinmiş
painful,acı veren
painkiller,ağrı kesici
painless,acısız
pains,zahmet
painstaking,dikkatli
paint drier,sikatif
paint spray gun,boya tabancası
paint the lily,allayıp pullamak
paint the town red,eğlenceye takılmak
paint,boyamak
paintbox,boya kutusu
paintbrush,boya fırçası
painted woman,fahişe
painted,boyalı
painter,ressam
painting,ressamlık
paintress,kadın ressam
pair of compasses,pergel
pair of scissors,makas
pair up,çift oluşturmak
pair,çift
pair-oar,çift kürekli tekne
pairing,çiftleşme
pajamas,pijama
pal,arkadaş
palace,saray
paladin,şövalye
palaeontology,paleontoloji
palatable,tadı güzel
palatal harmony,büyük ünlü uyumu
palatal sound,damaksıl ses
palatal,damak ile ilgili
palatalization,damaksıllaşma
palatalize,damaksıllaştırmak
palate,damak
palatial,saray gibi
palatine tonsil,bademcik
palatine,damakla ilgili
palaver,görüşme
pale,(yüz) soluk
palea,pulcuk
paleface,solukbenizli
paleness,solukluk
paleo-,(önek) paleo
Paleocene,paleosen
paleographer,paleograf
paleography,paleografi
paleolithic,yontma taş devrine ait
paleontologist,paleontolog
paleontology,paleontolog
Paleozoic,paleozoik
Palestine,Filistin
Palestinian,Filistinli
paletot,palto
palette,ressam paleti
palfrey,binek atı
palindrome,makam
paling,çit
palingenesis,yeniden doğma
palisade,kazıklarla yapılmış çit
pall,tabut örtüsü
palladium,palladyum
pallete,palet
palliate,(hastalık) hafifletmek
palliation,(hastalık) hafifletme
palliative,palyatif
pallid,solgun
pallidness,solgunluk
pallium,palyum
pallor,solgunluk
pally,yakın
palm grease,rüşvet
palm off,kakalamak
palm oil,hurma yağı
palm sugar,hurma şekeri
palm tree,hurma ağacı
palm,palmiye
palmate,palmiye yaprağı şeklinde
palmette,hurma yaprağı süsü
palmiped,perdeayaklı
palmist,el falcısı
palmistry,el falı
palmitate,palmitat
palooka,beceriksiz boksör
palp,dokunaç
palpability,hissedilebilirlik
palpable,elle dokunulabilir
palpate,elle muayene etmek
palpation,elle muayene
palpebra,gözkapağı
palpitant,heyecandan titreyen
palpitate,(yürek) hızlı ve düzensizce atmak
palpitation,düzensiz kalp atışı
palsied,felçli
palsy,inme
palter,oyun etmek
paltriness,önemsizlik
paltry,önemsiz
paludal,bataklık gibi
paludism,sıtma
pampas,pampa
pamper,üzerine çok düşmek
pamphlet,kitapçık
pamphleteer,broşür yazan kimse
pan,tava
panacea,(sözde) her derde deva ilaç
panache,gösteriş
Panama,Panama
Panamanian,Panamalı
pancake coil,yassı bobin
pancake landing,perdövitesli iniş
pancake,tava keki
panchromatic,pankromatik
pancreas,pankreas
pancreatic duct,pankreas yolu
pancreatic gland,pankreas bezi
pancreatic juice,pankreas usaresi
pancreatic tissue,pankreas dokusu
pancreatic,pankreasla ilgili
pancreatin,pankreatin
panda crossing,yaya geçidi
panda,panda
pandemic,genel
pandemonium,şamata
pander,pezevenk
pandora,güzel kadın
pane,pencere camı
panegyric,övgü
panegyrical,övgü niteliğinde
panegyrist,methiyeci
panegyrize,övmek
panel discussion,açık oturum
panel saw,aynalık testeresi
panel,kapı aynası
panelist,panele katılan kimse
panelling,tahta kaplama
panelwork,aynalı kaplama işi
pang,ani ve şiddetli ağrı
pangs of hunger,açlık sancısı
pangs of love,aşk sancısı
panhandle,tava sapı
panhandler,dilenci
panic,panik
panic-stricken,paniğe kapılmış
panicky,panik halinde
panicle,panikül
panjandrum,özünü çok yükseklerde gören güçlü kişi
panne,pan
pannier,küfe
pannikin,maşrapa
panning,panoramik
panoplied,tam silahlı
panoply,tam zırh takımı
panorama,panorama
panoramic,panoramik
pansy,hercai menekşe
pant,sık sık nefes almak
pantaloons,eskiden giyilen dar pantolon
pantechnicon,mobilya mağazası
pantheism,kamutanrıcılık
pantheist,kamutanrıcı
pantheistic,panteistik
panther,panter
panties,kadın külotu
pantihose,külotlu çorap
pantile,alaturka kiremit
pantograph,pantograf
pantomime,pandomim
pantry,kiler
pants,kadın külotu
pantyhose,külotlu çorap
panzer,motorize kuvvet
pap,lapa
papa,ata
paper bag,kâğıt torba
paper capacitor,kâğıtlı kondansatör
paper chromatography,kâğıt kromatografisi
paper clip,ataş
paper currency,tedavüldeki para
paper hanger,duvar kâğıdı kaplayan kimse
paper mill,kâğıt fabrikası
paper money,kâğıt para
paper office,devlet arşivi
paper profit,kâğıt üzerindeki kâr
paper tape,kâğıt bant
paper,kâğıt
paperback,kâğıt kapaklı kitap
paperboy,gazete dağıtıcısı
paperhanger,duvar kâğıtçısı
paperknife,kitap açacağı
papers on appeal,celp
papers,evrak
paperweight,kâğıtların uçmasını önleyen ağırlık
paperwork,kırtasiyecilik
papery,kâğıt gibi
papier-mache,kâğıt hamuru
papilla,tomur
papillary,kabarcıkları olan
papistry,Katoliklik
papoose,Kızılderili çocuğu
pappus,papus
pappy,baba
paprika,kırmızı biber
papula,kabarcık
papyraceous,kâğıt gibi ince
papyrus,papirüs
par for the course,olan oldu
par of exchange,kambiyo paritesi
par value,nominal değer
par,nominal değer
para,paraşütçü asker
para-,(önek) ötesinde
parabiosis,parabiyoz
parable,mesel
parabola,parabol
parabolic aerial,parabolik anten
parabolic curve,parabolik eğri
parabolic reflector,parabolik reflektör
parabolic,parabolik
paraboloid headlight,parabolik far
paraboloid of revolution,dönel paraboloit
paraboloid,paraboloit
parachute jumper,paraşütçü
parachute,paraşüt
parachutist,paraşütçü
paraclete,şefaatçi
parade ground,tören meydanı
parade,geçit töreni
paradigm,paradigma
paradigmatic,dizi ile ilgili
paradigmatics,dizibilim
paradise,cennet
paradox,paradoks
paradoxical,çelişkili görünen
paradrop,paraşütle atmak
paraffin oil,gazyağı
paraffin wax,parafin
paraffin,parafin
paraglider,planör paraşüt
paragon,en iyi örnek
paragonite,paragonit
paragraph,paragraf
parahydrogen,parahidrojen
parakeet,bir tür ufak papağan
paraldehyde,paraldehit
parallax,paralaks
parallel circuit,paralel devre
parallel connection,paralel bağlantı
parallel line,paralel çizgi
parallel resonance,paralel rezonans
parallel,koşut, enlem, benzemek, eşit olmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parallel-nerved,paralel damarlı
parallel-plate capacitor,paralel levhalı kondansatör
parallelepiped,paralel yüzlü
parallelism,benzerlik
parallelogram,paralelkenar
paralogism,paraljizm
paralysation,felç olma
paralyse,felç etmek
paralysis,inme
paralytic,felçli kimse
paramagnetic,paramanyetik
paramagnetism,paramanyetiklik
paramecium,terliksihayvan
paramedic,yardımcı hekimlik hizmeti veren kişi
parameter,parametre
parametric amplifier,parametrik amplifikatör
parametric equation,parametrik denklem
parametric,parametrik
paramilitary,askeri nitelikli
paramount,üstün
paramour,metres
paranoia,paranoya
paranoiac,paranoyak
paranoid,paranoyak
parapet,korkuluk
paraph,paraf
paraphernalia,takım taklavat
paraphrase,başka sözcüklerle açıklamak
paraplegia,belden aşağı felç
paraplegic,belden aşağısı felçli
parapsychology,parapsikoloji
parascending,paraşütle atlama sporu
parasital,asalak
parasite,asalak
parasitic current,parazit akım
parasitic,asalaklarla ilgili
parasiticide,asalak öldürücü madde
parasitism,parazitlik
parasitology,asalakbilim
parasol,güneş şemsiyesi
parasuit,paraşütçü giysisi
parasympathetic nervous system,parasempatik sinir jüyesi
parasympathetic,parasempatik
parathion,paratiyon
parathyroid,paratiroit bezi
paratrooper,paraşütçü
paratroops,paraşütçü kıtası
paratyphoid,paratifo
paravane,paravan
parboil,yarı kaynatmak
parbuckle,fıçı sapanı
parcel of land,parsel
parcel office,paket postanesi
parcel out,taksim etmek
parcel post,paket postası
parcel up,paketlemek
parcel,paket,doğramak,hisselerine bölmek,hurdalamak,parçalamak,bohça halinde bağlamak,bükmek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
